Rank,Name,Profile URL
60,PrinceOscarino,https://polymarket.com/profile/0x060e94156048701cbf65b8e567ffe96b11742384
61,Countryside,https://polymarket.com/profile/0xbddf61af533ff524d27154e589d2d7a81510c684
62,oVyg7f,https://polymarket.com/profile/0x5f390e4b7d6f06d6756a6c92afdbf7b3176aa78c
63,TopGleaguePicks,https://polymarket.com/profile/0x310f6937ed43dfb00722198ff787ca4a61fc4e42
64,noovd,https://polymarket.com/profile/0x063aeee10fbfd55b6def10da28e87a601e7deb4b
65,SemyonMarmeladov,https://polymarket.com/profile/0x37e4728b3c4607fb2b3b205386bb1d1fb1a8c991
66,Mlemnonny123,https://polymarket.com/profile/0x124f7b74916d41460dc3dfefa0e5ef4b14783661
67,moje999,https://polymarket.com/profile/0x18d12d50db693ea3258edaa721c8ffa6eb7bdbcb
68,xjsgedhxfa,https://polymarket.com/profile/0xd90344155919671d44fd7e769caf4d4f50b2bf9d
69,AlexanderTheBait,https://polymarket.com/profile/0xb2304a93c928e05c13e3b96b07be1f2ea8374193
70,distinct-baguette,https://polymarket.com/profile/0xe00740bce98a594e26861838885ab310ec3b548c
71,Sharpyyy,https://polymarket.com/profile/0x68dd6269bb89d27a850dcde0d59ee824a227f0b2
72,TeemuTeemuTeemu,https://polymarket.com/profile/0x5388bc8cb72eb19a3bec0e8f3db6a77f7cd54d5a
73,0xead02f1568144be782d762e2b6a719302830f3ba,https://polymarket.com/profile/0xead02f1568144be782d762e2b6a719302830f3ba
74,tutrucks,https://polymarket.com/profile/0xce71bed9dd1418abc34d244730879d795e8683bc
75,Punisher2022,https://polymarket.com/profile/0x2652dd1140c3b9e69c8852264cf8dbe727672a1d
76,Macks22,https://polymarket.com/profile/0x1057e7d3ddafc60a4aeb10a2bc5b543792449ea5
77,0xb786b8b6335e77dfad19928313e97753039cb18d,https://polymarket.com/profile/0xb786b8b6335e77dfad19928313e97753039cb18d
78,Eatpraylove,https://polymarket.com/profile/0xc02147dee42356b7a4edbb1c35ac4ffa95f61fa8
79,Kvh1992,https://polymarket.com/profile/0xcd71fd5370880f3d92bb941e628c05840fe0d127
80,Nyanto,https://polymarket.com/profile/0x80584be01a1dee8df189954c7413d0319139d023
81,mwenya,https://polymarket.com/profile/0xde0463ea7f611b065e8ab06bbfbddad75e6dfa37
82,weflyhigh,https://polymarket.com/profile/0x03e8a544e97eeff5753bc1e90d46e5ef22af1697
83,WordleAddict,https://polymarket.com/profile/0xe25b9180f5687aa85bd94ee309bb72a464320f1b
84,Avarice31,https://polymarket.com/profile/0x781caf04d98a281712caf1677877c442789fdb68
85,betwick,https://polymarket.com/profile/0xc851cd9bee7d262afd78674f861f9f576a12cd2a
86,0x64dbf41255eacd1f73da6c0af7f8624ca60d766,https://polymarket.com/profile/0x64dbf41255eacd1f73da6c0af7f8624ca60d766d
87,jt7,https://polymarket.com/profile/0x25cc572fae8d022da57a888597561908fd669297
88,15m-a4,https://polymarket.com/profile/0xecd55daa7c6900683b804d1d4db935fbfabe43f4
89,Dingwin,https://polymarket.com/profile/0x9fad8308ef6b6ed5320e53a290a3bd4ad91f5a9f
90,DonaldinhoTrumpito,https://polymarket.com/profile/0x7523cafcee7bcf2db9a79d80e0d79b88a9a54c4c
91,0x07c846584Cbf796AeA720bb41e674E6734Fc2696-1763599034348,https://polymarket.com/profile/0x07c846584cbf796aea720bb41e674e6734fc2696
92,livebreathevolatility,https://polymarket.com/profile/0x818f214c7f3e479cce1d964d53fe3db7297558cb
93,cigarettes,https://polymarket.com/profile/0xd218e474776403a330142299f7796e8ba32eb5c9
94,sherlockhomie,https://polymarket.com/profile/0xd44e29936409019f93993de8bd603ef6cb1bb15e
95,plzdontdropout,https://polymarket.com/profile/0xb63ac06f20eed05d0a34f61116d0580a0afb4064
96,0xCB3143ee858E14d0B3FE40fFeaEa78416e646B0,https://polymarket.com/profile/0xcb3143ee858e14d0b3fe40ffeaea78416e646b02
97,lhtsports,https://polymarket.com/profile/0xa6a856a8c8a7f14fd9be6ae11c367c7cbb755009
98,ExpressoMartini,https://polymarket.com/profile/0x080a53ccb5caf5949d2e67074e8629fe1f249da4
99,fishuu,https://polymarket.com/profile/0x8717e750e5e20cd0e28e39280e960cc020fb49a8
100,kingofcoinflips,https://polymarket.com/profile/0xe9c6312464b52aa3eff13d822b003282075995c9
101,ArmageddonRewardsBilly,https://polymarket.com/profile/0xc8ab97a9089a9ff7e6ef0688e6e591a066946418
102,DapperChapper,https://polymarket.com/profile/0xf8ccb567e89c3240359217ebd0b5b5fe7fce5a82
103,ImJustKen,https://polymarket.com/profile/0x9d84ce0306f8551e02efef1680475fc0f1dc1344
104,0x758B3e0B0026bfa8491Ea550e98614cE297C4bFB-1764612936823,https://polymarket.com/profile/0x758b3e0b0026bfa8491ea550e98614ce297c4bfb
105,Bacc,https://polymarket.com/profile/0xf5e15d3344c35890f1aa716dca88e13eb9065ad0
106,ScroooogeMcDuck,https://polymarket.com/profile/0xc35049bc7b6bd28a49a40b261466ca91aad63669
107,0x829598d4df411c94195094d66e309d56b1c03c7c,https://polymarket.com/profile/0x829598d4df411c94195094d66e309d56b1c03c7c
108,PurpleThunderBicycleMountain,https://polymarket.com/profile/0x589222a5124a96765443b97a3498d89ffd824ad2
109,mavenico44,https://polymarket.com/profile/0xf23c454838ddf6812dcf758ca81f12ca29c7ad58
110,Anjun,https://polymarket.com/profile/0x43372356634781eea88d61bbdd7824cdce958882
111,Rambler-Channel,https://polymarket.com/profile/0x0c4b64af62a0ac3dd477e9f80ec3eaa18e92f6db
112,statwC00KS,https://polymarket.com/profile/0x57a8d63731277200ed26cfde9a8a830d94f36933
113,BlindOrangutan,https://polymarket.com/profile/0x97317409bfd9e992611596acee93e8b938019b35
114,Iulii,https://polymarket.com/profile/0x27345a76c9f81b87cd0296b7ce8301f3ec006d9e
115,CarlosMC,https://polymarket.com/profile/0x777d9f00c2b4f7b829c9de0049ca3e707db05143
116,easypredict,https://polymarket.com/profile/0x388537259dc9e693c1c9b96fdf07a63f6b7aca77
117,black-rabbit,https://polymarket.com/profile/0xb6ce76828a51b382f7e88cbb9baa0f03f9c17a7d
118,theyseemeloosintheyhatin,https://polymarket.com/profile/0x14333d20e95f39472970d2feff6c9c4c16fd56a0
119,0xe74A4446EfD66A4de690962938F550D8921A40Ee-1764438981358,https://polymarket.com/profile/0xe74a4446efd66a4de690962938f550d8921a40ee
120,InfiniteCry,https://polymarket.com/profile/0x72aaaaf9f6b0286e390de5b568af0f99a00c90e0
121,EF203F2IPFC2ICP20W-CP3,https://polymarket.com/profile/0x4133bcbad1d9c41de776646696f41c34d0a65e70
122,Lsufbey,https://polymarket.com/profile/0x2b15b1cab8917d786e44765002a07a78ee8c9b08
123,crossfire154,https://polymarket.com/profile/0xe73ee729fc8ac69c3ee6ca70dedb3875070574fe
124,Frosenn,https://polymarket.com/profile/0x06ecb7e739f5455922ce57e83284f132c7f0f845
125,shutitfatty,https://polymarket.com/profile/0xc29e1cef4256f423e5a3e713d886bd25f98da2ca
126,Lugh-do,https://polymarket.com/profile/0xc31d0a0d63d760d72a1236d16beaa6a71c854ebe
127,catch23,https://polymarket.com/profile/0x76e7a9110e3ee58d5169deb00b130c28dd5a8197
128,0xEb19c2a1b57784C90A4c1B9Aa65CFf5587f5534F-1764971434211,https://polymarket.com/profile/0xeb19c2a1b57784c90a4c1b9aa65cff5587f5534f
129,BuyHighSmileHigher,https://polymarket.com/profile/0x7a783f89e3378d6bb02f573d31112904476dadd7
130,Karajan,https://polymarket.com/profile/0x8e9eedf20dfa70956d49f608a205e402d9df38e4
131,rdba,https://polymarket.com/profile/0xc4d1a863e9cc45d02ba22d3a1ae9ba7822018ce8
132,0x0A77exmm,https://polymarket.com/profile/0x0a77bc0638f13892c8b1d1d2c13ba178540f9d74
133,Vetch,https://polymarket.com/profile/0x9c82c60829df081d593055ee5fa288870c051f13
134,0x29f99b23d58F02301b661D3bAc302B5B7487E310-1764845768873,https://polymarket.com/profile/0x29f99b23d58f02301b661d3bac302b5b7487e310
135,dfsgretfewqrfew,https://polymarket.com/profile/0xfefb4ab20c207f11278c222e5276546727f74b5d
136,benwyatt,https://polymarket.com/profile/0x1117eade222413335b7ec959e5b48c1d3dbc3532
137,ronsonjonson,https://polymarket.com/profile/0xf20986f7c6b8e3ea603a7bb33797d5ba982597e1
138,Euan,https://polymarket.com/profile/0xdd225a03cd7ed89e3931906c67c75ab31cf89ef1
139,cqs,https://polymarket.com/profile/0xdfe3fedc5c7679be42c3d393e99d4b55247b73c4
140,Ryan888,https://polymarket.com/profile/0x20bcdf5a9c7696d1134cba8d77067d2a967fa3a7
141,sovereign2013,https://polymarket.com/profile/0xee613b3fc183ee44f9da9c05f53e2da107e3debf
142,evm,https://polymarket.com/profile/0xc8809a2756d80cbbf5c81a685f2ce113b3242c56
143,eightpenguins,https://polymarket.com/profile/0x3c593aeb73ebdadbc9ce76d4264a6a2af4011766
144,TKD44,https://polymarket.com/profile/0x68df8708aadb901618f11abf2471805a66a24815
145,0xheavy888,https://polymarket.com/profile/0xec981ed70ae69c5cbcac08c1ba063e734f6bafcd
146,TheVeryGoodCow,https://polymarket.com/profile/0x033f0346c007323030eb420305ffede19a95618e
147,BoshBashBish,https://polymarket.com/profile/0x29bc82f761749e67fa00d62896bc6855097b683c
148,Nurro,https://polymarket.com/profile/0xce5bec63b40392845a9a504915f607c8e03a047a
149,alliswell,https://polymarket.com/profile/0x1521b47bf0c41f6b7fd3ad41cdec566812c8f23e
150,AgriasOaks,https://polymarket.com/profile/0xa315afc43cd6c3fc06774d33d769d0ff043ecabb
151,yiqifacaiya,https://polymarket.com/profile/0x8e68d0fe1009c916dec4f3c6effee4f6a6c6d99b
152,123abc,https://polymarket.com/profile/0xc58df0b98437f613e20916c242403e0a6c009373
153,okurage,https://polymarket.com/profile/0x05b6fb6a698bcc1ebbc93abc64c472fa100f4b4f
154,thanksforshow,https://polymarket.com/profile/0x8262ffa70186af8656abb788bdb778e3f67ba815
155,0xf247584e41117bbBe4Cc06E4d2C95741792a5216-1742469835200,https://polymarket.com/profile/0xf247584e41117bbbe4cc06e4d2c95741792a5216
156,yeamanletsmakebread,https://polymarket.com/profile/0x9cd5612308098866b7bb4b1634ec86cc5428ed17
157,tphhh,https://polymarket.com/profile/0xf9151529abce6aa8357b99707ec06607cf238720
158,Sharky6999,https://polymarket.com/profile/0x751a2b86cab503496efd325c8344e10159349ea1
159,endxd,https://polymarket.com/profile/0xa41cb0ef63d0ae1df955cfb2f111c79c6e3afade
160,IH2P,https://polymarket.com/profile/0x4ee29e4e7d4c380babeae5e22e5c02400c2246e1
161,ca6859f3c004bff161e3328d27ddba6c,https://polymarket.com/profile/0x1ff49fdcb6685c94059b65620f43a683be0ce7a5
162,tgrdy,https://polymarket.com/profile/0x33e073440d9ac43e2e190e910f0b02b2fbd17d46
163,BigBlackGorilla,https://polymarket.com/profile/0x97e12cc7391a50e49042b44a2d4a0cef54c8017b
164,tourists,https://polymarket.com/profile/0xc6dd722558dbfbd8fa780efcbe819ed8c6604b9f
165,test686,https://polymarket.com/profile/0x78546079b40bc80cd75dc318cac775c1f653a392
166,abUser123,https://polymarket.com/profile/0xb7a63200d44c67c3bb44d8bda9f8e40b138189b2
167,ciro2,https://polymarket.com/profile/0x8795bcb2fe129d1ea3e3d73bc13a3d8078047544
168,Annica,https://polymarket.com/profile/0x689ae12e11aa489adb3605afd8f39040ff52779e
169,DONALDTRUMPFAKERMESSI,https://polymarket.com/profile/0x224b16b3c67ad51f6302eab010a9e8f540a88927
170,lmtfalone,https://polymarket.com/profile/0x79add3f87e377b0899b935472c07d2c3816ba9f1
171,0xD9E0AACa471f48F91A26E8669A805f2,https://polymarket.com/profile/0xd9e0aaca471f489be338fd0f91a26e8669a805f2
172,TealV,https://polymarket.com/profile/0xd748c701ad93cfec32a3420e10f3b08e68612125
173,Ryx,https://polymarket.com/profile/0x0979bad57d7a1403db89cbcd9c52bf43f2138d9b
174,Joe-Biden,https://polymarket.com/profile/0x8b5a7da2fdf239b51b9c68a2a1a35bb156d200f2
175,0x9615A81A49Fa2F1F234aE138EAC87e3828a260dd-1728200815324,https://polymarket.com/profile/0x9615a81a49fa2f1f234ae138eac87e3828a260dd
176,0x8cbb318B8863898f0907deE7113453EB75FaACB2-1763215592534,https://polymarket.com/profile/0x8cbb318b8863898f0907dee7113453eb75faacb2
177,justwins,https://polymarket.com/profile/0xa2cced8bfae7d645f7f437fb76becf2fcbb70cbc
178,elkmonkey,https://polymarket.com/profile/0xead152b855effa6b5b5837f53b24c0756830c76a
179,Car,https://polymarket.com/profile/0x7c3db723f1d4d8cb9c550095203b686cb11e5c6b
180,Flipadelphia,https://polymarket.com/profile/0x448861155279dbf833d041b963e3ac854599e319
181,Economancy,https://polymarket.com/profile/0x7e507842c280238a62301146a592a27486d82a28
182,0xfd6812c5a8e0a940ebef7be718c55b4bfdb9a333,https://polymarket.com/profile/0xfd6812c5a8e0a940ebef7be718c55b4bfdb9a333
183,Kickstand7,https://polymarket.com/profile/0xd1acd3925d895de9aec98ff95f3a30c5279d08d5
184,ProfessionalPunter,https://polymarket.com/profile/0x22e4248bdb066f65c9f11cd66cdd3719a28eef1c
185,Sai2010,https://polymarket.com/profile/0xd1a535ed8543fc1852c87e2fb9ef6fed1c549de7
186,pako,https://polymarket.com/profile/0x71edffd0d70a1da823ff07a3c6fc81457294d338
187,Katello,https://polymarket.com/profile/0x86283633b8d8ee0c0d6db3ce4c7a23f811f56f0b
188,ss88ss,https://polymarket.com/profile/0x57c22158a0fba791d6c3049a8aa981e0c0ddb716
189,opulent,https://polymarket.com/profile/0x9c0f44a1168c4ff3afe3617a7c10560abe097b84
190,kal-kalich,https://polymarket.com/profile/0x717415ddfb74c35208e24d2a90f5560c1921fe1b
191,tcp2,https://polymarket.com/profile/0x6b7c75862e64d6e976d2c08ad9f9b54add6c5f83
192,cozyfnf,https://polymarket.com/profile/0x1ff26f9f8a048d4f6fb2e4283f32f6ca64d2dbbd
193,SeniorLaghetto,https://polymarket.com/profile/0x05ab749a8554fb7c852238c271d384bae6798145
194,Marketpoll,https://polymarket.com/profile/0x036e3e41ee423583e62e2266a749de4fbdc39276
195,aibaby,https://polymarket.com/profile/0xfa257198aff8511f2c6584b90b930c50deab05e8
196,qwerkk,https://polymarket.com/profile/0x7702028f87deda0ceefea619209ece9630669791
197,0xd6f44883f664d7dc963d8b89c5a0689fdd330566,https://polymarket.com/profile/0xd6f44883f664d7dc963d8b89c5a0689fdd330566
198,TheMangler,https://polymarket.com/profile/0x9703676286b93c2eca71ca96e8757104519a69c2
199,gabagool-inv,https://polymarket.com/profile/0xf444220e8d32f456c39b6b727e7bb5bc41d8c970
200,rox119,https://polymarket.com/profile/0x7b2c123bceec0c3d0fd206a19c283af65932af48
