Name,Wallet,Wins,Losses,Total Won,Total Lost,Duplicated Bets,Diff Outcome Count,Diff Outcome Details
aenews2,0x44c1dfe43260c94ed4f1d00de2e1f80fb113ebc1,49,10,985316.45,7444.8,26,10,"epstein-client-list-released-in-2025-372: Different outcomes (No, Yes); epstein-blackmail-files-released-in-2025: Different outcomes (No, Yes); will-avatar-fire-and-ash-second-weekend-box-office-be-less-than-57m: Different outcomes (No, Yes); will-barack-obama-be-named-in-newly-released-epstein-files: Different outcomes (No, Yes); tiktok-sale-announced-in-2025-386-821-248: Different outcomes (No, Yes); will-avatar-fire-and-ash-opening-weekend-box-office-be-less-than-90m: Different outcomes (No, Yes); epstein-blackmail-evidence-released-by-march-31: Different outcomes (No, Yes); will-stephen-colbert-be-named-in-newly-released-epstein-files: Different outcomes (No, Yes); will-joe-biden-be-named-in-newly-released-epstein-files: Different outcomes (No, Yes); will-the-trump-administration-release-any-epstein-related-files-on-december-27-2025: Different outcomes (No, Yes)"
Account88888,0x7f69983eb28245bba0d5083502a78744a8f66162,6,0,1903.07,0.0,6,5,"xrp-updown-15m-1766959200: Different outcomes (Up, Down); eth-updown-15m-1766959200: Different outcomes (Up, Down); btc-updown-15m-1766959200: Different outcomes (Up, Down); bitcoin-up-or-down-december-28-5pm-et: Different outcomes (Up, Down); sol-updown-15m-1766959200: Different outcomes (Up, Down)"
Mikee12,0x84cb17a50bc2487e8d64029783c3d2abcba328ad,121,74,1462415.44,1180504.15,127,0,
dreamerwon,0x8ca8445e5c0dda8dcfeef768c074dbd66b07bf49,13,13,433260.16,191950.8,7,1,"cfb-ohiost-ind-2025-12-06: Different outcomes (Ohio State, Indiana)"
0x8dxd,0x63ce342161250d705dc0b16df89036c8e5f9ba9a,22,4,17380.18,1173.19,21,16,"xrp-up-or-down-december-28-2pm-et: Different outcomes (Up, Down); bitcoin-up-or-down-december-28-4pm-et: Different outcomes (Up, Down); ethereum-up-or-down-december-28-2pm-et: Different outcomes (Up, Down); eth-updown-15m-1766946600: Different outcomes (Up, Down); bitcoin-up-or-down-december-28-5pm-et: Different outcomes (Up, Down); xrp-up-or-down-december-28-3pm-et: Different outcomes (Up, Down); xrp-up-or-down-december-28-5pm-et: Different outcomes (Up, Down); solana-up-or-down-december-28-2pm-et: Different outcomes (Up, Down); xrp-up-or-down-december-28-4pm-et: Different outcomes (Up, Down); bitcoin-up-or-down-december-28-2pm-et: Different outcomes (Up, Down); bitcoin-up-or-down-december-28-3pm-et: Different outcomes (Up, Down); ethereum-up-or-down-december-28-3pm-et: Different outcomes (Up, Down); solana-up-or-down-december-28-4pm-et: Different outcomes (Up, Down); solana-up-or-down-december-28-3pm-et: Different outcomes (Up, Down); btc-updown-15m-1766946600: Different outcomes (Up, Down); bitcoin-up-or-down-december-28-1pm-et: Different outcomes (Up, Down)"
ShucksIt69,0x84dbb7103982e3617704a2ed7d5b39691952aeeb,10,4,144432.04,44628.07,12,7,"nfl-no-ten-2025-12-28: Different outcomes (Saints, Titans); nfl-sea-car-2025-12-28: Different outcomes (Panthers, Seahawks); nfl-jax-ind-2025-12-28: Different outcomes (Colts, Jaguars); nfl-pit-cle-2025-12-28: Different outcomes (Steelers, Browns); nfl-nyg-lv-2025-12-28: Different outcomes (Raiders, Giants); nfl-phi-buf-2025-12-28: Different outcomes (Bills, Eagles); nfl-ne-nyj-2025-12-28: Different outcomes (Jets, Patriots)"
gabagool22,0x6031b6eed1c97e853c6e0f03ad3ce3529351f96d,10,2,15407.56,225.21,6,5,"ethereum-up-or-down-december-28-5pm-et: Different outcomes (Up, Down); eth-updown-15m-1766958300: Different outcomes (Up, Down); eth-updown-15m-1766959200: Different outcomes (Up, Down); btc-updown-15m-1766959200: Different outcomes (Up, Down); bitcoin-up-or-down-december-28-5pm-et: Different outcomes (Up, Down)"
LOOKINGBACK,0xc65ca4755436f82d8eb461e65781584b8cadea39,33,18,362512.1,102925.84,34,0,
qwrasdz,0xd43cf929909540b714c054b97d7c53d9f31004e8,21,18,693523.89,392693.82,36,0,
gopatriots,0xe20a1538293903b746ffe6c4ce2d5c3c0300e469,127,25,284741.26,17733.21,54,22,"nba-phi-okc-2025-12-28-total-225pt5: Different outcomes (Under, Over); nba-sac-lal-2025-12-28-total-232pt5: Different outcomes (Under, Over); nba-sac-lal-2025-12-28-spread-home-12pt5: Different outcomes (Kings, Lakers); nba-bos-por-2025-12-28-total-230pt5: Different outcomes (Under, Over); nba-det-lac-2025-12-28-spread-away-4pt5: Different outcomes (Pistons, Clippers); nba-sac-lal-2025-12-28-spread-home-10pt5: Different outcomes (Kings, Lakers); fl1-psg-pfc-2026-01-04-psg: Different outcomes (No, Yes); nba-det-lac-2025-12-28-spread-away-3pt5: Different outcomes (Pistons, Clippers); sea-cag-mil-2026-01-02-mil: Different outcomes (No, Yes); nba-sac-lal-2025-12-28-total-233pt5: Different outcomes (Under, Over); nba-phi-okc-2025-12-28-spread-home-15pt5: Different outcomes (76ers, Thunder); nfl-jax-ind-2025-12-28: Different outcomes (Colts, Jaguars); nba-mem-was-2025-12-28-total-237pt5: Different outcomes (Under, Over); nba-mem-was-2025-12-28-total-238pt5: Different outcomes (Under, Over); nfl-phi-buf-2025-12-28-total-44pt5: Different outcomes (Under, Over); nba-det-lac-2025-12-28: Different outcomes (Pistons, Clippers); nba-bos-por-2025-12-28-total-229pt5: Different outcomes (Under, Over); nba-gsw-tor-2025-12-28: Different outcomes (Warriors, Raptors); nba-phi-okc-2025-12-28-total-226pt5: Different outcomes (Under, Over); nba-det-lac-2025-12-28-total-226pt5: Different outcomes (Under, Over); nba-mem-was-2025-12-28-spread-away-6pt5: Different outcomes (Grizzlies, Wizards); sea-nap-ver-2026-01-07-draw: Different outcomes (No, Yes)"
skkjhgda,0xee148cad5504462909bb8f50878990712e4b8055,102,15,112592.42,18912.31,30,14,"cbb-norfst-utep-2025-12-21: Different outcomes (UTEP Miners, Norfolk State Spartans); nfl-ne-bal-2025-12-21: Different outcomes (Ravens, Patriots); nba-chi-atl-2025-12-21: Different outcomes (Bulls, Hawks); nba-sas-was-2025-12-21: Different outcomes (Spurs, Wizards); cbb-ucirv-ndkst-2025-12-21: Different outcomes (UC Irvine Anteaters, North Dakota State Bison); nba-mia-nyk-2025-12-21: Different outcomes (Knicks, Heat); nfl-pit-det-2025-12-21: Different outcomes (Lions, Steelers); nba-mil-min-2025-12-21: Different outcomes (Bucks, Timberwolves); cbb-idaho-calpol-2025-12-21: Different outcomes (Cal Poly Mustangs, Idaho Vandals); cbb-ucdv-idhst-2025-12-21: Different outcomes (UC Davis Aggies, Idaho State Bengals); nfl-jax-den-2025-12-21: Different outcomes (Broncos, Jaguars); cbb-drake-evans-2025-12-21: Different outcomes (Drake Bulldogs, Evansville Aces); nba-hou-sac-2025-12-21-1h-moneyline: Different outcomes (Rockets, Kings); nba-tor-bkn-2025-12-21: Different outcomes (Raptors, Nets)"
0xe62d0223966f7cee8cc77065150a2db417bcc34,0xe62d0223966f7cee8cc77065150a2db417bcc34d,117,6,172862.82,173.66,56,19,"ethereum-above-2900-on-december-27: Different outcomes (No, Yes); will-the-price-of-ethereum-be-between-2700-2800-on-december-31: Different outcomes (No, Yes); ethereum-up-or-down-on-december-27: Different outcomes (Up, Down); will-the-price-of-ethereum-be-between-3000-3100-on-december-30: Different outcomes (No, Yes); will-ethereum-reach-3100-december-22-28: Different outcomes (No, Yes); will-the-price-of-ethereum-be-between-2900-3000-on-december-28: Different outcomes (No, Yes); will-the-price-of-ethereum-be-between-2800-2900-on-january-1: Different outcomes (No, Yes); will-the-price-of-ethereum-be-between-2900-3000-on-december-29: Different outcomes (No, Yes); will-the-price-of-ethereum-be-between-2700-2800-on-january-3: Different outcomes (No, Yes); will-the-price-of-ethereum-be-between-2800-2900-on-december-27: Different outcomes (No, Yes); ethereum-up-or-down-on-december-28: Different outcomes (Up, Down); will-the-price-of-ethereum-be-between-3000-3100-on-december-28: Different outcomes (No, Yes); ethereum-above-2900-on-december-29: Different outcomes (No, Yes); ethereum-up-or-down-on-december-29: Different outcomes (Up, Down); will-the-price-of-ethereum-be-between-2800-2900-on-december-28: Different outcomes (No, Yes); ethereum-above-2900-on-december-28: Different outcomes (No, Yes); will-the-price-of-ethereum-be-between-2700-2800-on-december-29: Different outcomes (No, Yes); ethereum-above-3100-on-december-31: Different outcomes (No, Yes); ethereum-above-3000-on-december-29: Different outcomes (No, Yes)"
CRYINGLITTLEBABY,0x961afce6bd9aec79c5cf09d2d4dac2b434b23361,7,5,25314.37,839.57,11,11,"ethereum-up-or-down-december-28-5pm-et: Different outcomes (Up, Down); xrp-updown-15m-1766959200: Different outcomes (Up, Down); eth-updown-15m-1766958300: Different outcomes (Up, Down); eth-updown-15m-1766959200: Different outcomes (Up, Down); btc-updown-15m-1766959200: Different outcomes (Up, Down); bitcoin-up-or-down-december-28-5pm-et: Different outcomes (Up, Down); btc-updown-15m-1766958300: Different outcomes (Up, Down); sol-updown-15m-1766959200: Different outcomes (Up, Down); sol-updown-15m-1766958300: Different outcomes (Up, Down); solana-up-or-down-december-28-5pm-et: Different outcomes (Up, Down); xrp-up-or-down-december-28-5pm-et: Different outcomes (Up, Down)"
0x24357454d8d1a0cc93a6c25fd490467372bc2454,0x6e82b93eb57b01a63027bd0c6d2f3f04934a752c,68,47,884482.0,558982.94,53,2,"nba-min-okc-2025-11-26-spread-home-10pt5: Different outcomes (Thunder, Timberwolves); nba-den-ind-2025-12-03: Different outcomes (Nuggets, Pacers)"
Samojako,0xbca1b1e6d78efc7c04e13ec8277a4df1ecd8dd13,15,9,153453.07,110350.98,20,1,"nfl-det-min-2025-12-25: Different outcomes (Lions, Vikings)"
thechainsmokers,0xdd8184551f4b3fca3fc780d4d1c6342d7c2d9640,10,10,221735.43,13462.14,16,0,
Dropper,0x6bab41a0dc40d6dd4c1a915b8c01969479fd1292,31,11,702691.52,19296.13,25,15,"fed-decreases-interest-rates-by-25-bps-after-december-2025-meeting: Different outcomes (No, Yes); weed-rescheduled-in-2025: Different outcomes (No, Yes); kodiak-fdv-above-50m-one-day-after-launch: Different outcomes (No, Yes); will-trump-say-maga-or-make-america-great-again-while-addressing-the-nation-on-december-17: Different outcomes (No, Yes); will-trump-release-the-epstein-files-by-december-22: Different outcomes (No, Yes); times-person-of-the-year-for-2025-is-a-woman: Different outcomes (No, Yes); will-steve-harrington-die-in-stranger-things-season-5: Different outcomes (No, Yes); will-trump-release-the-epstein-files-by-december-19-771: Different outcomes (No, Yes); will-michael-jackson-be-named-in-newly-released-epstein-files: Different outcomes (No, Yes); epstein-client-list-released-in-2025-372: Different outcomes (No, Yes); will-artificial-intelligence-be-times-person-of-the-year-for-2025: Different outcomes (No, Yes); will-mrbeast-hit-460-million-subscribers-by-january-31: Different outcomes (No, Yes); will-mrbeasts-next-video-get-between-45-and-50-million-views-on-day-1-149: Different outcomes (No, Yes); will-another-personthing-be-times-person-of-the-year-for-2025-523: Different outcomes (No, Yes); will-mrbeast-hit-460-million-subscribers-by-december-31: Different outcomes (No, Yes)"
chatCCP,0xb7844f423abd31bdd70a4664c958762d291b61d0,39,34,194596.94,132733.19,54,4,"nba-sas-okc-2025-12-25: Different outcomes (Spurs, Thunder); lol-lng-wb-2025-12-23: Different outcomes (Weibo Gaming, LNG Esports); lol-ig1-tes-2025-12-26: Different outcomes (Invictus Gaming, Top Esports); lal-bil-esp-2025-12-22-bil: Different outcomes (No, Yes)"
PrinceOscarino,0x060e94156048701cbf65b8e567ffe96b11742384,11,10,484654.11,235273.54,17,0,
Countryside,0xbddf61af533ff524d27154e589d2d7a81510c684,8,3,331243.68,116689.94,7,0,
oVyg7f,0x5f390e4b7d6f06d6756a6c92afdbf7b3176aa78c,10,97,3.91,13668.32,70,6,"sea-ata-int-2025-12-28-int: Different outcomes (No, Yes); acn-civ-cmr-2025-12-28-draw: Different outcomes (No, Yes); acn-civ-cmr-2025-12-28-cmr: Different outcomes (No, Yes); sea-ata-int-2025-12-28-draw: Different outcomes (No, Yes); acn-civ-cmr-2025-12-28-civ: Different outcomes (No, Yes); sea-ata-int-2025-12-28-ata: Different outcomes (No, Yes)"
TopGleaguePicks,0x310f6937ed43dfb00722198ff787ca4a61fc4e42,31,9,245190.8,52315.09,37,15,"lol-blg-omg-2025-12-23-game1: Different outcomes (Bilibili Gaming, Oh My God); lol-ig1-nip-2025-12-25-game1: Different outcomes (Invictus Gaming, Ninjas in Pyjamas); lol-omg-jdg-2025-12-22-game1: Different outcomes (JD Gaming, Oh My God); lol-we-edg-2025-12-24-game2: Different outcomes (EDward Gaming, Team WE); lol-nip-lgd-2025-12-20: Different outcomes (Ninjas in Pyjamas, LGD Gaming); lol-wb-blg-2025-12-25-game2: Different outcomes (Bilibili Gaming, Weibo Gaming); lol-omg-jdg-2025-12-22-game2: Different outcomes (JD Gaming, Oh My God); lol-we-edg-2025-12-24-game1: Different outcomes (EDward Gaming, Team WE); lol-ig1-tes-2025-12-26-game1: Different outcomes (Invictus Gaming, Top Esports); lol-ig1-tes-2025-12-26-game3: Different outcomes (Invictus Gaming, Top Esports); lol-ig1-tes-2025-12-26-game2: Different outcomes (Invictus Gaming, Top Esports); lol-blg-lng-2025-12-22-game2: Different outcomes (Bilibili Gaming, LNG Esports); lol-jdg-blg-2025-12-24-game1: Different outcomes (Bilibili Gaming, JD Gaming); lol-omg-lng-2025-12-24: Different outcomes (LNG Esports, Oh My God); lol-lgd-edg-2025-12-21: Different outcomes (EDward Gaming, LGD Gaming)"
noovd,0x063aeee10fbfd55b6def10da28e87a601e7deb4b,27,9,202142.91,1316.34,16,0,
SemyonMarmeladov,0x37e4728b3c4607fb2b3b205386bb1d1fb1a8c991,17,12,309082.67,267928.89,20,4,"nfl-jax-ind-2025-12-28: Different outcomes (Colts, Jaguars); sea-bol-sas-2025-12-28-bol: Different outcomes (No, Yes); nfl-pit-cle-2025-12-28: Different outcomes (Steelers, Browns); nfl-hou-lac-2025-12-27: Different outcomes (Texans, Chargers)"
moje999,0x18d12d50db693ea3258edaa721c8ffa6eb7bdbcb,60,81,1835781.79,1653589.31,25,1,"nba-sas-lal-2025-12-10: Different outcomes (Spurs, Lakers)"
Mlemnonny123,0x124f7b74916d41460dc3dfefa0e5ef4b14783661,8,1,159133.52,304.4,9,1,"us-x-venezuela-military-engagement-by-december-31-391-819-722-945-174-285-817-971-353-859-836-598-255-382-192-983: Different outcomes (No, Yes)"
xjsgedhxfa,0xd90344155919671d44fd7e769caf4d4f50b2bf9d,60,20,35797.11,10124.89,43,25,"nfl-no-ten-2025-12-28: Different outcomes (Saints, Titans); por-scb-ben-2025-12-28-draw: Different outcomes (No, Yes); nfl-pit-cle-2025-12-28-1h-moneyline: Different outcomes (Steelers, Browns); nfl-sea-car-2025-12-28: Different outcomes (Panthers, Seahawks); sea-ata-int-2025-12-28-int: Different outcomes (No, Yes); nfl-nyg-lv-2025-12-28: Different outcomes (Raiders, Giants); por-scb-ben-2025-12-28-ben: Different outcomes (No, Yes); nfl-jax-ind-2025-12-28: Different outcomes (Colts, Jaguars); sea-ata-int-2025-12-28-draw: Different outcomes (No, Yes); nfl-tb-mia-2025-12-28: Different outcomes (Buccaneers, Dolphins); nfl-pit-cle-2025-12-28: Different outcomes (Steelers, Browns); por-scb-ben-2025-12-28-scb: Different outcomes (No, Yes); nfl-ne-nyj-2025-12-28-1h-moneyline: Different outcomes (Jets, Patriots); sea-bol-sas-2025-12-28-bol: Different outcomes (No, Yes); nfl-phi-buf-2025-12-28: Different outcomes (Bills, Eagles); nba-gsw-tor-2025-12-28: Different outcomes (Warriors, Raptors); nfl-phi-buf-2025-12-28-1h-spread-home-0pt5: Different outcomes (Bills, Eagles); nfl-jax-ind-2025-12-28-1h-moneyline: Different outcomes (Colts, Jaguars); cbb-colmb-nfl-2025-12-28: Different outcomes (Columbia Lions, North Florida Ospreys); sea-bol-sas-2025-12-28-draw: Different outcomes (No, Yes); cbb-ncol-col-2025-12-28: Different outcomes (Colorado Buffaloes, Northern Colorado Bears); epl-cry-tot-2025-12-28-tot: Different outcomes (No, Yes); nfl-phi-buf-2025-12-28-1h-moneyline: Different outcomes (Bills, Eagles); nba-phi-okc-2025-12-28-spread-home-14pt5: Different outcomes (76ers, Thunder); cbb-librty-flint-2025-12-28: Different outcomes (Liberty Flames, Florida International Golden Panthers)"
AlexanderTheBait,0xb2304a93c928e05c13e3b96b07be1f2ea8374193,64,50,369265.36,292032.02,57,5,"elc-mil-ips-2025-12-26-ips: Different outcomes (No, Yes); nba-mia-atl-2025-12-26-spread-home-3pt5: Different outcomes (Hawks, Heat); epl-ars-bri-2025-12-27-ars: Different outcomes (No, Yes); nba-mia-atl-2025-12-26: Different outcomes (Hawks, Heat); epl-liv-wol-2025-12-27-liv: Different outcomes (No, Yes)"
Sharpyyy,0x68dd6269bb89d27a850dcde0d59ee824a227f0b2,32,23,522611.26,348363.16,49,1,"nhl-nyi-cbj-2025-12-28: Different outcomes (Islanders, Blue Jackets)"
distinct-baguette,0xe00740bce98a594e26861838885ab310ec3b548c,7,8,739.31,403.99,13,13,"xrp-updown-15m-1766959200: Different outcomes (Up, Down); eth-updown-15m-1766958300: Different outcomes (Up, Down); xrp-updown-15m-1766958300: Different outcomes (Up, Down); eth-updown-15m-1766959200: Different outcomes (Up, Down); btc-updown-15m-1766959200: Different outcomes (Up, Down); eth-updown-15m-1766957400: Different outcomes (Up, Down); sol-updown-15m-1766957400: Different outcomes (Up, Down); btc-updown-15m-1766956500: Different outcomes (Up, Down); sol-updown-15m-1766959200: Different outcomes (Up, Down); sol-updown-15m-1766958300: Different outcomes (Up, Down); btc-updown-15m-1766958300: Different outcomes (Up, Down); xrp-updown-15m-1766957400: Different outcomes (Up, Down); btc-updown-15m-1766957400: Different outcomes (Up, Down)"
TeemuTeemuTeemu,0x5388bc8cb72eb19a3bec0e8f3db6a77f7cd54d5a,44,17,82328.25,7678.19,47,14,"dota2-pari-ts8-2025-12-18-game2: Different outcomes (PARIVISION, Team Spirit); dota2-flc-xtreme-2025-12-19-game1: Different outcomes (Xtreme Gaming, Team Falcons); lol-edg-nip-2025-12-19: Different outcomes (EDward Gaming, Ninjas in Pyjamas); lol-we-up-2025-12-18-game1: Different outcomes (Ultra Prime, Team WE); dota2-ty-vp-2025-12-18-game2: Different outcomes (Team Yandex, Virtus.pro); lol-omg-lng-2025-12-28-game1: Different outcomes (LNG Esports, Oh My God); val-pr1-geng-2025-12-19: Different outcomes (Paper Rex, Gen.G Esports); lol-omg-lng-2025-12-28: Different outcomes (LNG Esports, Oh My God); dota2-og-tundra-2025-12-17-game2: Different outcomes (Tundra Esports, OG); lol-edg-nip-2025-12-19-game2: Different outcomes (EDward Gaming, Ninjas in Pyjamas); lol-we-up-2025-12-18: Different outcomes (Ultra Prime, Team WE); lol-edg-ig1-2025-12-20-game2: Different outcomes (EDward Gaming, Invictus Gaming); lol-omg-lgd-2025-12-18-game1: Different outcomes (Oh My God, LGD Gaming); lol-zsm-tt-2025-12-18-game2: Different outcomes (ThunderTalk Gaming, ZSM)"
0xead02f1568144be782d762e2b6a719302830f3ba,0xead02f1568144be782d762e2b6a719302830f3ba,34,22,187157.4,98242.87,46,5,"nba-cha-orl-2025-12-26: Different outcomes (Magic, Hornets); nhl-tb-fla-2025-12-27: Different outcomes (Panthers, Lightning); nhl-nyi-cbj-2025-12-28: Different outcomes (Islanders, Blue Jackets); nba-den-orl-2025-12-27: Different outcomes (Nuggets, Magic); nhl-bos-buf-2025-12-27: Different outcomes (Sabres, Bruins)"
tutrucks,0xce71bed9dd1418abc34d244730879d795e8683bc,18,2,1383965.21,113.14,10,1,"poilievre-out-as-leader-of-conservatives-before-2027: Different outcomes (No, Yes)"
Macks22,0x1057e7d3ddafc60a4aeb10a2bc5b543792449ea5,8,2,199067.66,11950.96,10,0,
0xb786b8b6335e77dfad19928313e97753039cb18d,0xb786b8b6335e77dfad19928313e97753039cb18d,182,76,90709.02,91953.89,80,13,"nfl-gb-chi-2025-12-20: Different outcomes (Bears, Packers); cfb-washst-utahst-2025-12-22: Different outcomes (Washington State, Utah State); sea-sas-tor-2025-12-21-tor: Different outcomes (No, Yes); cfb-mia-txam-2025-12-20: Different outcomes (Texas A&M, Miami); nfl-phi-buf-2025-12-28: Different outcomes (Bills, Eagles); nfl-kc-ten-2025-12-21: Different outcomes (Chiefs, Titans); sea-fio-udi-2025-12-21-fio: Different outcomes (No, Yes); epl-not-tot-2025-12-14-tot: Different outcomes (No, Yes); fl1-olm-asm-2025-12-14-olm: Different outcomes (No, Yes); nba-lal-phx-2025-12-14: Different outcomes (Suns, Lakers); fl1-olm-asm-2025-12-14-draw: Different outcomes (No, Yes); epl-che-ast-2025-12-27-che: Different outcomes (No, Yes); nba-sas-okc-2025-12-13: Different outcomes (Spurs, Thunder)"
Eatpraylove,0xc02147dee42356b7a4edbb1c35ac4ffa95f61fa8,63,2,406220.45,11.63,34,2,"will-bitcoin-reach-120000-by-december-31-2025-472-972: Different outcomes (No, Yes); will-trump-nominate-michelle-bowman-as-the-next-fed-chair: Different outcomes (No, Yes)"
Punisher2022,0x2652dd1140c3b9e69c8852264cf8dbe727672a1d,76,20,88457.29,2865.61,60,30,"nfl-no-ten-2025-12-28: Different outcomes (Saints, Titans); por-scb-ben-2025-12-28-draw: Different outcomes (No, Yes); nfl-sea-car-2025-12-28: Different outcomes (Panthers, Seahawks); sea-ata-int-2025-12-28-int: Different outcomes (No, Yes); nfl-nyg-lv-2025-12-28: Different outcomes (Raiders, Giants); por-scb-ben-2025-12-28-ben: Different outcomes (No, Yes); cbb-lemyn-boscol-2025-12-28: Different outcomes (Le Moyne Dolphins, Boston College Eagles); nba-det-lac-2025-12-28-1h-total-115pt5: Different outcomes (Under, Over); cs2-dynamo-csnews-2025-12-28: Different outcomes (Team CS2NEWS, CyberDynamo); acn-civ-cmr-2025-12-28-draw: Different outcomes (No, Yes); nfl-jax-ind-2025-12-28: Different outcomes (Colts, Jaguars); acn-civ-cmr-2025-12-28-cmr: Different outcomes (No, Yes); sea-ata-int-2025-12-28-draw: Different outcomes (No, Yes); cbb-norfst-loulaf-2025-12-28: Different outcomes (Louisiana-Lafayette Ragin Cajuns, Norfolk State Spartans); cbb-harvrd-colg-2025-12-28: Different outcomes (Harvard Crimson, Colgate Raiders); nfl-tb-mia-2025-12-28: Different outcomes (Buccaneers, Dolphins); nfl-pit-cle-2025-12-28: Different outcomes (Steelers, Browns); por-scb-ben-2025-12-28-scb: Different outcomes (No, Yes); nfl-ari-cin-2025-12-28: Different outcomes (Bengals, Cardinals); nba-bos-por-2025-12-28-total-229pt5: Different outcomes (Under, Over); nfl-phi-buf-2025-12-28: Different outcomes (Bills, Eagles); nba-gsw-tor-2025-12-28: Different outcomes (Warriors, Raptors); acn-civ-cmr-2025-12-28-civ: Different outcomes (No, Yes); cbb-colmb-nfl-2025-12-28: Different outcomes (Columbia Lions, North Florida Ospreys); sea-ata-int-2025-12-28-total-1pt5: Different outcomes (Under, Over); nhl-nyi-cbj-2025-12-28-spread-home-1pt5: Different outcomes (Islanders, Blue Jackets); nba-phi-okc-2025-12-28-spread-home-14pt5: Different outcomes (76ers, Thunder); dota2-kalmy-mw2-2025-12-28: Different outcomes (Kalmychata, Most Wanted); cbb-librty-flint-2025-12-28: Different outcomes (Liberty Flames, Florida International Golden Panthers); sea-ata-int-2025-12-28-ata: Different outcomes (No, Yes)"
Kvh1992,0xcd71fd5370880f3d92bb941e628c05840fe0d127,56,20,545513.72,15667.55,45,1,"epstein-blackmail-files-released-in-2025: Different outcomes (No, Yes)"
Nyanto,0x80584be01a1dee8df189954c7413d0319139d023,78,44,655389.04,255455.9,46,4,"nba-gsw-nop-2025-11-16: Different outcomes (Pelicans, Warriors); cfb-ark-lsu-2025-11-15: Different outcomes (Arkansas, LSU); nfl-buf-pit-2025-11-30: Different outcomes (Steelers, Bills); nba-chi-por-2025-11-19: Different outcomes (Trail Blazers, Bulls)"
influenz.eth,0xe8dd7741ccb12350957ec71e9ee332e0d1e6ec86,50,214,14175.13,32491.29,119,0,
weflyhigh,0x03e8a544e97eeff5753bc1e90d46e5ef22af1697,6,5,166572.51,35500.8,9,1,"nhl-ott-tor-2025-12-27: Different outcomes (Maple Leafs, Senators)"
mwenya,0xde0463ea7f611b065e8ab06bbfbddad75e6dfa37,108,24,51255.99,10086.39,65,40,"nfl-no-ten-2025-12-28: Different outcomes (Saints, Titans); will-ben-johnson-win-nfl-coach-of-the-year: Different outcomes (No, Yes); por-scb-ben-2025-12-28-draw: Different outcomes (No, Yes); nfl-sea-car-2025-12-28: Different outcomes (Panthers, Seahawks); por-aro-gil-2025-12-28-draw: Different outcomes (No, Yes); epl-cry-tot-2025-12-28-draw: Different outcomes (No, Yes); cbb-arcd-stjoe-2025-12-28: Different outcomes (Arcadia Knights, Saint Josephs Hawks); sea-ata-int-2025-12-28-int: Different outcomes (No, Yes); nfl-pit-cle-2025-12-28-spread-away-3pt5: Different outcomes (Steelers, Browns); will-the-seattle-seahawks-win-the-nfc-west-1: Different outcomes (No, Yes); will-treveyon-henderson-be-the-2025-2026-nfl-offensive-rookie-of-the-year-224: Different outcomes (No, Yes); por-scb-ben-2025-12-28-ben: Different outcomes (No, Yes); nfl-jax-ind-2025-12-28: Different outcomes (Colts, Jaguars); sea-mil-ver-2025-12-28-mil: Different outcomes (No, Yes); sea-ata-int-2025-12-28-draw: Different outcomes (No, Yes); will-tyler-shough-be-the-2025-2026-nfl-offensive-rookie-of-the-year-166: Different outcomes (No, Yes); sea-cre-nap-2025-12-28-nap: Different outcomes (No, Yes); will-the-los-angeles-rams-win-the-nfc-west-1: Different outcomes (No, Yes); will-emeka-egbuka-be-the-2025-2026-nfl-offensive-rookie-of-the-year-158: Different outcomes (No, Yes); nfl-tb-mia-2025-12-28: Different outcomes (Buccaneers, Dolphins); epl-cry-tot-2025-12-28-cry: Different outcomes (No, Yes); nfl-pit-cle-2025-12-28: Different outcomes (Steelers, Browns); will-the-baltimore-ravens-make-the-playoffs: Different outcomes (No, Yes); cbb-winth-txtech-2025-12-28-spread-home-17pt5: Different outcomes (Texas Tech Red Raiders, Winthrop Eagles); nfl-no-ten-2025-12-28-spread-away-3pt5: Different outcomes (Saints, Titans); will-tetairoa-mcmillan-be-the-2025-2026-nfl-offensive-rookie-of-the-year-271: Different outcomes (No, Yes); epl-sun-lee-2025-12-28-sun: Different outcomes (No, Yes); epl-sun-lee-2025-12-28-lee: Different outcomes (No, Yes); epl-sun-lee-2025-12-28-draw: Different outcomes (No, Yes); por-aro-gil-2025-12-28-aro: Different outcomes (No, Yes); cbb-lamon-kanst-2025-12-28: Different outcomes (Louisiana-Monroe Warhawks, Kansas State Wildcats); will-the-san-francisco-49ers-win-the-nfc-west-1: Different outcomes (No, Yes); nfl-nyg-lv-2025-12-28-spread-away-2pt5: Different outcomes (Raiders, Giants); cbb-ncol-col-2025-12-28: Different outcomes (Colorado Buffaloes, Northern Colorado Bears); epl-cry-tot-2025-12-28-tot: Different outcomes (No, Yes); will-the-pittsburgh-steelers-win-the-afc-north-1: Different outcomes (No, Yes); por-aro-gil-2025-12-28-gil: Different outcomes (No, Yes); will-the-houston-texans-win-the-afc-south-1: Different outcomes (No, Yes); cbb-librty-flint-2025-12-28: Different outcomes (Liberty Flames, Florida International Golden Panthers); sea-ata-int-2025-12-28-ata: Different outcomes (No, Yes)"
