Name,Wallet,Wins,Losses,Total Won,Total Lost,Duplicated Bets,Diff Outcome Count,Diff Outcome Details
potko,0x43351dd7e8def5f29e5bd5954c8381c848a2fc2f,23,16,643450.31,485659.02,33,1,"nfl-lac-dal-2025-12-21-spread-home-1pt5: Different outcomes (Chargers, Cowboys)"
primm,0xd38b71f3e8ed1af71983e5c309eac3dfa9b35029,154,139,4720914.31,2659019.12,101,1,"nfl-ne-bal-2025-12-21: Different outcomes (Ravens, Patriots)"
ghostt4,0x869b00cfb22f9385445ad88f914d423d27e3c625,35,19,1104259.29,797500.25,38,0,
210MM,0xbcc9608ff5481e8452173a2236ffd735fad726fb,7,3,91841.33,146519.71,10,0,
Feromont,0xabb89972b21b304c1bed2bf26f35c8741ac9bba3,18,6,1316456.0,67791.89,24,0,
sleepy-panda,0xa49becb692927d455924583b5e3e5788246f4c40,53,12,2579016.68,56759.4,46,3,"nba-min-den-2025-12-25: Different outcomes (Nuggets, Timberwolves); cfb-flint-utsa-2025-12-26: Different outcomes (UTSA Roadrunners, Florida International); cfb-lsu-hou-2025-12-27: Different outcomes (Houston, LSU)"
212121212121212121212,0x1bc0d88ca86b9049cf05d642e634836d5ddf4429,12,5,860078.23,55754.62,14,0,
beachboy4,0xc2e7800b5af46e6093872b177b7a5e7f0563be51,22,13,4968665.66,4045430.72,30,0,
0x6f2628a8ac6e3f7bd857657d5316c33822ced13,0x6f2628a8ac6e3f7bd857657d5316c33822ced136,86,2,371613.67,56.98,45,25,"bitcoin-above-90k-on-december-30: Different outcomes (No, Yes); will-the-price-of-bitcoin-be-between-92000-94000-on-december-30: Different outcomes (No, Yes); will-the-price-of-bitcoin-be-between-82000-84000-on-january-2: Different outcomes (No, Yes); bitcoin-above-88k-on-december-29: Different outcomes (No, Yes); bitcoin-above-88k-on-january-1: Different outcomes (No, Yes); bitcoin-above-92k-on-january-1: Different outcomes (No, Yes); will-the-price-of-bitcoin-be-between-88000-90000-on-december-28: Different outcomes (No, Yes); will-the-price-of-bitcoin-be-between-86000-88000-on-december-28: Different outcomes (No, Yes); will-the-price-of-bitcoin-be-between-86000-88000-on-december-29: Different outcomes (No, Yes); bitcoin-above-86k-on-december-29: Different outcomes (No, Yes); bitcoin-above-86k-on-january-1: Different outcomes (No, Yes); bitcoin-above-86k-on-january-2: Different outcomes (No, Yes); bitcoin-above-90k-on-january-3: Different outcomes (No, Yes); bitcoin-above-86k-on-january-3: Different outcomes (No, Yes); will-bitcoin-dip-to-86k-december-22-28: Different outcomes (No, Yes); bitcoin-above-88k-on-december-31: Different outcomes (No, Yes); bitcoin-up-or-down-on-december-28: Different outcomes (Up, Down); bitcoin-above-88k-on-january-2: Different outcomes (No, Yes); bitcoin-above-84k-on-january-3: Different outcomes (No, Yes); bitcoin-up-or-down-on-december-29: Different outcomes (Up, Down); bitcoin-above-88k-on-december-30: Different outcomes (No, Yes); bitcoin-above-86k-on-december-30: Different outcomes (No, Yes); bitcoin-above-88k-on-december-28: Different outcomes (No, Yes); will-the-price-of-bitcoin-be-between-90000-92000-on-december-29: Different outcomes (No, Yes); bitcoin-above-90k-on-january-1: Different outcomes (No, Yes)"
0p0jogggg,0x6ac5bb06a9eb05641fd5e82640268b92f3ab4b6e,161,68,36421.15,13636.87,141,70,"dota2-avl-l1ga-2025-12-28: Different outcomes (AVULUS, L1ga Team); nfl-ari-la-2026-01-04: Different outcomes (Rams, Cardinals); dota2-avl-spirit1-2025-12-26: Different outcomes (AVULUS, Spirit Academy); nba-phx-nop-2025-12-27: Different outcomes (Pelicans, Suns); nba-lac-por-2025-12-26: Different outcomes (Trail Blazers, Clippers); dota2-lynx-z10-2025-12-26: Different outcomes (Team Lynx, Zero Tenacity); cs2-bb3-win5-2026-01-03: Different outcomes (WINNERS, BetBoom Team); cs2-heroa-meg1-2025-12-28: Different outcomes (HEROIC Academy, megoshort); lol-jdg-edg-2025-12-27-game2: Different outcomes (EDward Gaming, JD Gaming); nba-phi-okc-2025-12-28: Different outcomes (76ers, Thunder); lol-wb-blg-2025-12-25: Different outcomes (Bilibili Gaming, Weibo Gaming); dota2-kalmy-wb-2025-12-26: Different outcomes (Kalmychata, Winter Bear); nba-ind-mia-2025-12-27: Different outcomes (Pacers, Heat); cs2-csnews-dynamo-2025-12-27: Different outcomes (Team CS2NEWS, CyberDynamo); nhl-mon-fla-2025-12-30: Different outcomes (Panthers, Canadiens); nba-mia-atl-2025-12-26-spread-home-3pt5: Different outcomes (Hawks, Heat); nba-atl-okc-2025-12-29: Different outcomes (Hawks, Thunder); dota2-ivo-yg-2025-12-27: Different outcomes (Ivory, Yangon Galacticos); nba-min-den-2025-12-25-1h-total-116pt5: Different outcomes (Under, Over); lol-ig1-nip-2025-12-25: Different outcomes (Invictus Gaming, Ninjas in Pyjamas); lol-ig1-tes-2025-12-26: Different outcomes (Invictus Gaming, Top Esports); nfl-det-chi-2026-01-04: Different outcomes (Lions, Bears); nba-phx-was-2025-12-29: Different outcomes (Suns, Wizards); nba-min-den-2025-12-25-1h-total-115pt5: Different outcomes (Under, Over); nba-den-orl-2025-12-27: Different outcomes (Nuggets, Magic); dota2-y123-komodo-2025-12-26: Different outcomes (Komodo, yache123); nba-phx-nop-2025-12-26: Different outcomes (Pelicans, Suns); nfl-nyj-buf-2026-01-04: Different outcomes (Jets, Bills); nba-gsw-bkn-2025-12-29: Different outcomes (Warriors, Nets); nba-mia-atl-2025-12-26-total-246pt5: Different outcomes (Under, Over); nhl-min-sj-2025-12-31: Different outcomes (Sharks, Wild); lol-jdg-edg-2025-12-27-game3: Different outcomes (EDward Gaming, JD Gaming); nfl-tb-mia-2025-12-28-1h-moneyline: Different outcomes (Buccaneers, Dolphins); nfl-car-tb-2026-01-04: Different outcomes (Panthers, Buccaneers); nba-cle-hou-2025-12-27: Different outcomes (Rockets, Cavaliers); dota2-yes-l1ga-2025-12-25: Different outcomes (Yellow Submarine, L1ga Team); lol-ig1-nip-2025-12-25-game2: Different outcomes (Invictus Gaming, Ninjas in Pyjamas); cs2-dep-omega1-2026-01-03-total-games-2pt5: Different outcomes (Under, Over); nba-den-mia-2025-12-29: Different outcomes (Nuggets, Heat); lol-al-lgd-2025-12-29: Different outcomes (Anyones Legend, LGD Gaming); nba-mia-atl-2025-12-26: Different outcomes (Hawks, Heat); nfl-gb-min-2026-01-04: Different outcomes (Packers, Vikings); nba-sac-lal-2025-12-28: Different outcomes (Kings, Lakers); nba-uta-sas-2025-12-27: Different outcomes (Jazz, Spurs); lol-jdg-edg-2025-12-27: Different outcomes (EDward Gaming, JD Gaming); lol-omg-lng-2025-12-28: Different outcomes (LNG Esports, Oh My God); nba-tor-was-2025-12-26-total-231pt5: Different outcomes (Under, Over); cs2-pre-mana-2025-12-25: Different outcomes (MANA eSports, Prestige); nba-phi-chi-2025-12-26: Different outcomes (76ers, Bulls); nba-lac-por-2025-12-26-total-224pt5: Different outcomes (Under, Over); cs2-prem-mana-2025-12-28: Different outcomes (MANA eSports, Preasy Mix); nfl-den-kc-2025-12-25-total-44pt5: Different outcomes (Under, Over); nba-gsw-tor-2025-12-28: Different outcomes (Warriors, Raptors); cs2-csnews-buster-2025-12-28: Different outcomes (Team CS2NEWS, Team buster); nba-ind-hou-2025-12-29: Different outcomes (Pacers, Rockets); dota2-kalmy-spirit1-2025-12-28-game1: Different outcomes (Kalmychata, Spirit Academy); cs2-shad-buster-2025-12-27: Different outcomes (Team buster, Team Shadowkek); cs2-bb3-win5-2026-01-03-game1: Different outcomes (WINNERS, BetBoom Team); nba-min-den-2025-12-25-total-229pt5: Different outcomes (Under, Over); dota2-mw2-kalmy-2025-12-25: Different outcomes (Kalmychata, Most Wanted); lol-jdg-edg-2025-12-27-game1: Different outcomes (EDward Gaming, JD Gaming); nba-bos-ind-2025-12-26: Different outcomes (Pacers, Celtics); nba-hou-lal-2025-12-25-total-225pt5: Different outcomes (Under, Over); nhl-min-las-2025-12-29: Different outcomes (Wild, Golden Knights); nfl-bal-gb-2025-12-27: Different outcomes (Ravens, Packers); nba-bkn-min-2025-12-27: Different outcomes (Nets, Timberwolves); dota2-kalmy-wb-2025-12-26-game1: Different outcomes (Kalmychata, Winter Bear); dota2-kalmy-mw2-2025-12-28: Different outcomes (Kalmychata, Most Wanted); cs2-mana-meg1-2025-12-26: Different outcomes (MANA eSports, megoshort); nhl-nj-tor-2025-12-30: Different outcomes (Devils, Maple Leafs)"
